,Date,Country,Dead,Source,More_Info
5694,Reported 08-Jan-1891,JAMAICA,Y,"Tuapeka Times, 1/21/1891",http://sharkattackfile.net/spreadsheets/pdf_directory/1891.01.08.R-Jamaica.pdf
5696,Reported 27-Dec-1890,BRITISH NEW GUINEA,N,"Queenslander, 12/27/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.12.27.R-Tetebara.pdf
5697,Reported 25-Oct-1890,ATLANTIC OCEAN,Y,"Taranaki Herald, 10/25/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.10.25.R-Lavarello.pdf
5698,Reported 17-Aug-1890,USA,N,"NY Times, 8/17/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.08.17.R-NJ-PartyBoat.pdf
5699,9-Aug-1890,USA,N,"NY Times, 8/12/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.08.09-Odell.pdf
5700, 08-Aug-1890,SAMOA,N,"Argus, 9/9/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.08.08-Schwebke.pdf
5701,06-26-1890,CROATIA,N,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.06.26-Mayonni.pdf
5702,Reported 14-Jun-1890,PERSIAN GULF,N,"Bush Advocate, 6/14/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.06.14.R-Frenchman.pdf
5703,Reported 02-Jun-1890,EGYPT,Y,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.06.02.R-PortSaid.pdf
5705,Reported 03-Mar-1890,CEYLON,Y,"The Guardian, 3/3/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.03.03.R-Ceylon.pdf
5706,25-Feb-1890,MALTA,Y,A. Buttigieg,http://sharkattackfile.net/spreadsheets/pdf_directory/1890.02.25-Malta.pdf
5707,1890 ,AUSTRALIA,N,"V.M. Coppleson (1958), p.105; C. Black pp. 147-148",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.e-FrederickSampsonJohnson.pdf
5708,1890,INDIA,UNKNOWN,"Sydney Morning Herald, 10/1/1890",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.d-Tuticorin.pdf
5709,1890,INDIA,UNKNOWN,"Steubenville Herald, 11/12/1896",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.c-Tuticorin.pdf
5710,1890,NEW ZEALAND,Y,"A. W. Parrott, p.68",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.b-soldier.pdf
5711,Ca. 1890,SOUTH AFRICA,Y,"J. Daniel, M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1890.00.00.a-ZuluMale.pdf
5713,22-Nov-1889,AUSTRALIA,Y,"Brisbane Courier, 11/26/1889",http://sharkattackfile.net/spreadsheets/pdf_directory/1889.11.22-Sharpe.pdf
5715,Reported 03-Oct-1889,INDIA,Y,"Decatur Daily Republican, 10/3/1889",http://sharkattackfile.net/spreadsheets/pdf_directory/1889.10.03.R-Madras.pdf
5716,21-Jul-1889,USA,Y,"NY Times, 7/22/1889",http://sharkattackfile.net/spreadsheets/pdf_directory/1889.07.21-Roe.pdf
5717,  19-Jul-1889,USA,N,"Galveston Daily News, 7/21/1889",http://sharkattackfile.net/spreadsheets/pdf_directory/1889.07.19-Bolling.pdf
5718,08-Jul-1889,AUSTRALIA,Y,"Brisbane Courier, 7/9/1889",http://sharkattackfile.net/spreadsheets/pdf_directory/1889.07.08-PortPhillip.pdf
5719,Reported 31-Jan-1889,USA,N,"Timaru Herald, 1/31/1889",http://sharkattackfile.net/spreadsheets/pdf_directory/1889.01.31.R-Florida.pdf
5720,Jan-1889,SIERRA LEONE,Y,"NY Times, 1/20/1889",http://sharkattackfile.net/spreadsheets/pdf_directory/1889.01.00-EnglishSailor.pdf
5721,Reported 25-Dec-1888,INDIAN OCEAN,N,"West Australian, 12/25/1888",http://sharkattackfile.net/spreadsheets/pdf_directory/1888.12.25.R-Burnside.pdf
5722,09-Dec-1888,AUSTRALIA,Y,"G.P. Whitley (1951), p.192, citing Sydney Morning Herald, 12/10/ 1888 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1888.12.09-Carter.pdf
5723,Dec-1888,AUSTRALIA,Y,"G.P. Whitley (1951), p.192, citing Sydney Morning Herald, 12/10/1888",http://sharkattackfile.net/spreadsheets/pdf_directory/1888.12.00-Ryland.pdf
5724,Reported 23-Oct-1888,CROATIA,Y,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1888.10.23.R-Croatia. Pdf
